nombre,temporada,posicion,edad,partidos,goles,asistencias,probabilidad,prediccion,etiqueta
Edwin Cardona,2019,Attacking Midfield,26,25,4,8,0.9973378126880887,1,1
Federico Insúa,2005,Attacking Midfield,25,37,11,0,0.9972985096488933,1,1
Nico Gaitán,2009,Attacking Midfield,21,33,7,7,0.996863751514522,1,1
IarleyIarley,2003,Centre-Forward,29,34,5,2,0.9966708038458988,1,1
Nicolás Blandi,2012,Centre-Forward,22,27,8,2,0.9959217948986322,1,1
Leandro Gracián,2007,Attacking Midfield,24,32,6,6,0.9955528683370135,1,1
Sebastián Villa,2020,Left Winger,24,27,9,1,0.9952028815925036,1,1
Jorge Bermúdez,2000,Centre-Back,29,39,5,1,0.9947964255704749,1,0
Frank Fabra,2024,Left-Back,33,4,0,2,0.9945878981164531,1,0
Carlos Palacios,2024,Attacking Midfield,23,36,3,4,0.9938949514647072,1,0
Frank Fabra,2015,Left-Back,24,14,2,4,0.9937172070207676,1,1
Pablo Pérez,2017,Central Midfield,31,36,8,6,0.9936693223501206,1,1
Jesús Dátolo,2007,Left Midfield,23,40,7,7,0.9926552584080457,1,1
Neri Cardozo,2003,Attacking Midfield,16,24,5,5,0.9919423810385203,1,1
Pablo Mouche,2011,Left Winger,23,53,11,8,0.9919318879399122,1,1
Jonathan Fabbro,2002,Attacking Midfield,20,7,2,1,0.9899159997449463,1,1
Lucas Viatri,2011,Centre-Forward,24,21,5,3,0.9898506948106243,1,1
Milton Giménez,2023,Centre-Forward,26,25,7,1,0.9879942263731198,1,1
Rodrigo Battaglia,2024,Defensive Midfield,32,35,5,0,0.9871345321282827,1,0
Matías Donnet,2003,Attacking Midfield,23,34,7,5,0.9869952624587391,1,1
Emmanuel Gigliotti,2014,Centre-Forward,27,17,5,1,0.9866633103852327,1,1
Sebastián Palacios,2014,Right Winger,22,23,6,3,0.9864632105543593,1,1
Guillermo Barros Schelotto,2004,Centre-Forward,31,27,4,6,0.9862155238990524,1,1
Carlos Tévez,2018,Centre-Forward,34,38,6,6,0.9861325118840318,1,1
Kevin Zenón,2023,Left Winger,21,46,6,7,0.9819141833075676,1,1
Martín Payero,2022,Central Midfield,23,15,4,1,0.9815642296263837,1,1
Luca Langoni,2021,Right Winger,19,22,7,1,0.9812821134286274,1,1
Neri Cardozo,2006,Attacking Midfield,19,50,10,6,0.980935294458949,1,1
Ezequiel González,2002,Attacking Midfield,21,26,4,2,0.9801699930535016,1,1
Neri Cardozo,2004,Attacking Midfield,17,42,7,8,0.9794657948140728,1,1
Luis Vázquez,2020,Centre-Forward,19,26,7,2,0.9754978267991748,1,1
Edwin Cardona,2017,Attacking Midfield,24,32,7,3,0.9737551072660794,1,1
Edinson Cavani,2024,Centre-Forward,37,24,5,2,0.971357102756072,1,1
Óscar RomeroÓ. Romero,2021,Attacking Midfield,28,46,2,10,0.9695736807836056,1,1
Neri Cardozo,2008,Attacking Midfield,21,2,0,1,0.9691268618264777,1,0
Marcelo Meli,2014,Central Midfield,22,41,5,7,0.9642360872472315,1,1
Bruno Marioni,2006,Left Winger,31,18,3,2,0.9635684506903319,1,1
Daniel Bilos,2005,Left Midfield,24,33,4,1,0.9567980809957853,1,0
Lucas Viatri,2010,Centre-Forward,23,28,7,1,0.94576527253077,1,1
Federico Carrizo,2014,Left Winger,23,35,3,8,0.9425199869030695,1,1
Antonio Barijho,2001,Centre-Forward,24,6,2,0,0.9425006840009066,1,0
Mauro Boselli,2007,Centre-Forward,22,25,4,5,0.9404475007946971,1,1
Juan Román Riquelme,2012,Attacking Midfield,34,13,2,1,0.9396635940328891,1,0
Juan Sánchez Miño,2013,Left-Back,23,31,4,8,0.9388627756634084,1,1
Javier Villarreal,2003,Right Midfield,24,29,6,4,0.9342822337529207,1,1
Mauro Zárate,2019,Centre-Forward,32,24,5,2,0.9339302880274641,1,1
Franco Cángele,2003,Second Striker,18,31,6,4,0.9309164604482384,1,1
Andrés Chávez,2015,Centre-Forward,24,22,4,3,0.9267401358254443,1,1
Darío Benedetto,2018,Centre-Forward,28,26,5,2,0.9154107642986221,1,1
Federico Insúa,2009,Attacking Midfield,29,30,3,5,0.90601993318839,1,1
Darío Benedetto,2022,Centre-Forward,32,41,6,4,0.9047378275161817,1,1
Walter Gaitán,2000,Attacking Midfield,23,23,5,1,0.9020769869489866,1,1
BaianoBaiano,2004,Right-Back,26,15,2,3,0.9001631346371397,1,1
Sebastián Villa,2019,Left Winger,23,39,5,7,0.8875952344464694,1,1
Cristian Pavón,2018,Right-Back,22,28,5,4,0.8687525627607154,1,1
Óscar RomeroÓ. Romero,2022,Attacking Midfield,29,19,2,4,0.8676397478829979,1,1
Marcelo Delgado,2005,Centre-Forward,32,17,4,0,0.8651227914014885,1,0
Exequiel Zeballos,2024,Right Winger,22,35,6,4,0.861074540544115,1,1
Gary Medel,2009,Defensive Midfield,21,29,7,1,0.8578999873342397,1,1
Mauro Boselli,2006,Centre-Forward,21,21,5,1,0.8531661474631006,1,1
Cristian Lema,2023,Centre-Back,33,34,1,2,0.8382118574879819,1,0
Sebastián Battaglia,2003,Defensive Midfield,22,18,3,1,0.8309891866893573,1,0
Nazareno Solís,2016,Left Winger,22,4,0,2,0.8302082283243318,1,0
Federico Carrizo,2015,Left Winger,24,16,3,2,0.8297251946109951,1,1
Valentín Barco,2022,Central Midfield,17,32,1,4,0.825233589994457,1,0
Cristian Chávez,2008,Attacking Midfield,22,18,3,2,0.816641949807861,1,1
Pablo Pérez,2014,Central Midfield,28,25,3,5,0.8157934145045033,1,1
Walter Bou,2016,Centre-Forward,22,28,6,1,0.8068325910121009,1,1
Ayrton Costa,2024,Centre-Back,24,26,3,1,0.7970245620868014,1,0
Pablo Ledesma,2012,Central Midfield,28,21,3,2,0.79598780962797,1,0
Omar Pérez,2000,Attacking Midfield,19,29,6,0,0.7943028762695387,1,1
Lucas Viatri,2012,Centre-Forward,25,25,5,1,0.7863783248739585,1,1
Frank Fabra,2021,Left-Back,30,48,3,8,0.7743208502845259,1,1
Guido Vadalá,2014,Attacking Midfield,17,2,0,1,0.7730102985661901,1,0
Norberto Briasco,2021,Right Winger,25,7,2,0,0.7544035085483997,1,0
Fernando Gago,2016,Defensive Midfield,30,19,2,3,0.748263927522593,1,0
Pablo Mouche,2010,Left Winger,22,31,2,8,0.7474303327849623,1,1
Fernando Gago,2014,Defensive Midfield,28,33,4,4,0.742357016421854,1,1
Nico Gaitán,2008,Attacking Midfield,20,40,5,4,0.7364194898852469,1,1
Luis Vázquez,2022,Centre-Forward,21,20,3,3,0.7177477011933661,1,1
Walter Bou,2017,Centre-Forward,23,19,4,1,0.716795066982589,1,1
Luciano Acosta,2013,Attacking Midfield,19,19,2,2,0.7166478278551456,1,0
Walter Erviti,2011,Central Midfield,31,47,5,4,0.7053073413833826,1,1
Frank Fabra,2017,Left-Back,26,27,3,3,0.6998557274052366,1,0
Mauro Boselli,2004,Centre-Forward,19,10,2,1,0.686045430755049,1,0
Diego Cagna,2004,Right Midfield,34,40,7,1,0.6754897524025741,1,1
Cristian Pavón,2020,Right-Back,24,32,4,5,0.6735913775277906,1,1
Junior Benítez,2016,Left Winger,23,10,2,1,0.6673136249055072,1,0
Pablo Ledesma,2007,Central Midfield,23,38,6,1,0.6509286120851637,1,1
Juan Manuel Martínez,2013,Right Winger,27,37,3,6,0.647757592863051,1,1
Rolando Schiavi,2004,Centre-Back,31,42,6,2,0.646450407860874,1,1
Neri Cardozo,2007,Attacking Midfield,20,36,3,6,0.6344530991204594,1,1
Frank Fabra,2016,Left-Back,25,22,2,3,0.6311885129787786,1,0
Alan Velasco,2024,Left Winger,21,31,1,2,0.6218437525338569,1,0
Ricardo Noir,2007,Attacking Midfield,20,9,1,2,0.6133806794810444,1,0
Rolando Schiavi,2002,Centre-Back,29,33,6,0,0.6046397504072178,1,1
